Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
in order to have,PurposePlan,174,161,0.98,0.38
sixty-five,InformationQuantities,174,156,0.98,0.37
analogue,InformationComparison,174,107,0.98,0.25
may be due to,ConfidenceHedged,174,152,0.98,0.36
it became clear that,ReaderDirectedMetadiscourse,174,170,0.98,0.40
very much like,InformationComparison,174,170,0.98,0.40
some researchers,ConfidenceHedged,174,160,0.98,0.37
remarked that,CitationNeutral,174,163,0.98,0.38
experimenter,CharacterTypes,174,74,0.98,0.17
greener,InformationComparison,174,150,0.98,0.35
is bound to,ConfidenceHigh,174,165,0.98,0.39
filler,ExpertVocabulary,174,136,0.98,0.32
parochial,ExpertVocabulary,174,148,0.98,0.35
humanism,ExpertVocabulary,174,95,0.98,0.22
alleged that,CitationControversy,174,130,0.98,0.30
atomic energy,ExpertVocabulary,174,123,0.98,0.29
of weight,PurposePlan,174,155,0.98,0.36
admirers,CharacterTypes,174,164,0.98,0.38
andromeda,ExpertVocabulary,174,66,0.98,0.15
can wait,ConfidenceHedged,174,164,0.98,0.38
maybe an,ConfidenceHedged,174,170,0.98,0.40
assistant director,CharacterTypes,174,144,0.98,0.34
sonar,ExpertVocabulary,174,98,0.98,0.23
subtext,ExpertVocabulary,174,142,0.98,0.33
sikh,CharacterTypes,174,49,0.98,0.11
organics,ExpertVocabulary,174,78,0.98,0.18
not unusual,ConfidenceHedged,174,166,0.98,0.39
teamsters,CharacterTypes,174,78,0.98,0.18
stringer,CharacterTypes,174,70,0.98,0.16
book club,ExpertVocabulary,174,96,0.98,0.22
pursuing the,PurposePlan,173,168,0.97,0.39
aptitude,ExpertVocabulary,173,128,0.97,0.30
distinctions between,Reasoning,173,157,0.97,0.37
sizes of,ExpertVocabulary,173,134,0.97,0.31
tomography,ExpertVocabulary,173,94,0.97,0.22
because an,Reasoning,173,170,0.97,0.40
define a,ReaderDirectedMetadiscourse,173,152,0.97,0.36
unitary,ExpertVocabulary,173,101,0.97,0.24
in our history,ReaderDirectedMetadiscourseFP,173,166,0.97,0.39
his interest,CharacterTypes,173,165,0.97,0.39
the color of the,InformationComparison,173,154,0.97,0.36
writing of,ExpertVocabulary,173,161,0.97,0.38
theoretical framework,ExpertVocabulary,173,121,0.97,0.28
acupuncture,ExpertVocabulary,173,68,0.97,0.16
occupancy,ExpertVocabulary,173,110,0.97,0.26
collect data,MethodsResultsDiscussion,173,153,0.97,0.36
is smaller,InformationComparison,173,153,0.97,0.36
antithetical,Reasoning,173,144,0.97,0.34
it is likely,ConfidenceHigh,173,165,0.97,0.39
can develop,ConfidenceHedged,173,164,0.97,0.38
might look,ConfidenceHedged,173,171,0.97,0.40
movie stars,CharacterTypes,173,150,0.97,0.35
"for that reason ,",Reasoning,173,159,0.97,0.37
nomads,CharacterTypes,173,85,0.97,0.20
it shows that,Reasoning,173,162,0.97,0.38
state senator,CharacterTypes,173,136,0.97,0.32
population size,ExpertVocabulary,173,63,0.97,0.15
more on this,ReaderDirectedMetadiscourse,173,158,0.97,0.37
academic success,ExpertVocabulary,173,83,0.97,0.19
chapter 11,ExpertVocabulary,173,103,0.97,0.24
curators,CharacterTypes,173,116,0.97,0.27
could include,ConfidenceHedged,173,161,0.97,0.38
axial,ExpertVocabulary,173,89,0.97,0.21
triplets,ExpertVocabulary,173,103,0.97,0.24
cardiologist,CharacterTypes,173,110,0.97,0.26
i will call,ReaderDirectedMetadiscourseFP,173,163,0.97,0.38
tabs on,ExpertVocabulary,173,161,0.97,0.38
extracellular,ExpertVocabulary,173,58,0.97,0.14
allele,ExpertVocabulary,173,42,0.97,0.10
jezebel,CharacterTypes,173,57,0.97,0.13
".
34",InformationQuantities,173,171,0.97,0.40
a widow,CharacterTypes,173,156,0.97,0.37
i learn,ReaderDirectedMetadiscourseFP,173,152,0.97,0.36
like mine,ReaderDirectedMetadiscourse,173,160,0.97,0.37
we know who,ConfidenceHigh,173,163,0.97,0.38
gemma,ExpertVocabulary,173,43,0.97,0.10
trooper,CharacterTypes,173,94,0.97,0.22
as the result of,Reasoning,172,156,0.97,0.37
headings,ExpertVocabulary,172,98,0.97,0.23
likened,InformationComparison,172,165,0.97,0.39
individualistic,ExpertVocabulary,172,119,0.97,0.28
several studies,PurposePlan,172,156,0.97,0.37
communicator,CharacterTypes,172,138,0.97,0.32
setting of,ExpertVocabulary,172,143,0.97,0.33
concluding that,Reasoning,172,153,0.97,0.36
generalize,Reasoning,172,158,0.97,0.37
dg,ExpertVocabulary,172,62,0.97,0.15
performative,ExpertVocabulary,172,75,0.97,0.18
aux,ExpertVocabulary,172,83,0.97,0.19
regressions,ExpertVocabulary,172,76,0.97,0.18
stand-alone,ExpertVocabulary,172,132,0.97,0.31
one-fifth,InformationQuantities,172,149,0.97,0.35
clear from,Reasoning,172,163,0.97,0.38
gay community,CharacterTypes,172,101,0.97,0.24
63 %,InformationQuantities,172,135,0.97,0.32
i am saying,ReaderDirectedMetadiscourseFP,172,152,0.97,0.36
meta,ExpertVocabulary,172,96,0.97,0.22
that data,Reasoning,172,146,0.97,0.34
conclusive,ConfidenceHigh,172,156,0.97,0.37
playback,ExpertVocabulary,172,118,0.97,0.28
sign language,ExpertVocabulary,172,108,0.97,0.25
alma mater,ExpertVocabulary,172,162,0.97,0.38
may end,ConfidenceHedged,172,168,0.97,0.39
a touch of,ExpertVocabulary,172,164,0.97,0.38
hubs,ExpertVocabulary,172,119,0.97,0.28
. nothing like,ReaderDirectedMetadiscourse,172,170,0.97,0.40
stocked,ExpertVocabulary,172,153,0.97,0.36
gringo,CharacterTypes,172,73,0.97,0.17
hairdresser,CharacterTypes,172,149,0.97,0.35
scorer,CharacterTypes,172,111,0.97,0.26
you've got your,Reasoning,172,161,0.97,0.38
maybe it's the,ConfidenceHedged,172,161,0.97,0.38
papa's,CharacterTypes,172,90,0.97,0.21
a dad,CharacterTypes,172,150,0.97,0.35
it contained,ReaderDirectedMetadiscourse,171,165,0.96,0.39
henceforth,ReaderDirectedMetadiscourse,171,152,0.96,0.36
less for,InformationComparison,171,157,0.96,0.37
as compared with,InformationComparison,171,132,0.96,0.31
sees as,InformationComparison,171,165,0.96,0.39
nonproliferation,ExpertVocabulary,171,82,0.96,0.19
can explain,ConfidenceHedged,171,161,0.96,0.38
they found that,CitationAuthority,171,164,0.96,0.38
comparison group,MethodsResultsDiscussion,171,57,0.96,0.13
having to do with,ExpertVocabulary,171,159,0.96,0.37
may vary,ConfidenceHedged,171,161,0.96,0.38
the clients,CharacterTypes,171,125,0.96,0.29
were assessed,MethodsResultsDiscussion,171,124,0.96,0.29
have been developed,PurposePlan,171,150,0.96,0.35
idiom,ExpertVocabulary,171,134,0.96,0.31
traits of,ExpertVocabulary,171,128,0.96,0.30
arose from,Reasoning,171,162,0.96,0.38
what i believe,ReaderDirectedMetadiscourseFP,171,158,0.96,0.37
".
40",InformationQuantities,171,163,0.96,0.38
healthcare system,ExpertVocabulary,171,111,0.96,0.26
trainee,CharacterTypes,171,86,0.96,0.20
food supply,ExpertVocabulary,171,128,0.96,0.30
", for she",Reasoning,171,149,0.96,0.35
art gallery,ExpertVocabulary,171,132,0.96,0.31
a volunteer,CharacterTypes,171,162,0.96,0.38
no chance,ConfidenceLow,171,167,0.96,0.39
to conceal,PurposePlan,171,162,0.96,0.38
crusaders,CharacterTypes,171,96,0.96,0.22
herpes,ExpertVocabulary,171,95,0.96,0.22
looks like an,InformationComparison,171,166,0.96,0.39
newlyweds,CharacterTypes,171,145,0.96,0.34
mci,ExpertVocabulary,171,44,0.96,0.10
regarded as a,CitationControversy,170,159,0.96,0.37
total amount,InformationQuantities,170,145,0.96,0.34
i use a,ReaderDirectedMetadiscourseFP,170,150,0.96,0.35
write an,CitationNeutral,170,160,0.96,0.37
front-page,ExpertVocabulary,170,150,0.96,0.35
underpinnings,ExpertVocabulary,170,161,0.96,0.38
the fact of,ConfidenceHigh,170,162,0.96,0.38
bolder,InformationComparison,170,138,0.96,0.32
baccalaureate,ExpertVocabulary,170,69,0.96,0.16
physical world,ExpertVocabulary,170,135,0.96,0.32
political reasons,Reasoning,170,162,0.96,0.38
the fellow,CharacterTypes,170,149,0.96,0.35
248,InformationQuantities,170,126,0.96,0.29
effected,Reasoning,170,150,0.96,0.35
secondary education,ExpertVocabulary,170,121,0.96,0.28
".
apparently",Reasoning,170,167,0.96,0.39
celibacy,ExpertVocabulary,170,106,0.96,0.25
craftsmen,CharacterTypes,170,138,0.96,0.32
can speak,ConfidenceHedged,170,162,0.96,0.38
there is no doubt,ConfidenceHigh,170,167,0.96,0.39
".
36",InformationQuantities,170,169,0.96,0.40
argued for,CitationControversy,170,159,0.96,0.37
arrays,InformationQuantities,170,97,0.96,0.23
pimps,CharacterTypes,170,100,0.96,0.23
telecom,ExpertVocabulary,170,111,0.96,0.26
intracellular,ExpertVocabulary,170,67,0.96,0.16
everyone knows that,ConfidenceHigh,170,163,0.96,0.38
methamphetamine,ExpertVocabulary,170,75,0.96,0.18
free agents,CharacterTypes,170,107,0.96,0.25
looked like the,InformationComparison,170,163,0.96,0.38
pat .,ExpertVocabulary,170,103,0.96,0.24
assumed that the,Reasoning,169,155,0.95,0.36
the vision of,PurposePlan,169,153,0.95,0.36
it follows that,Reasoning,169,131,0.95,0.31
owing to the,Reasoning,169,144,0.95,0.34
fabled,ExpertVocabulary,169,160,0.95,0.37
population density,ExpertVocabulary,169,91,0.95,0.21
has been reported,PurposePlan,169,154,0.95,0.36
denoted,ReaderDirectedMetadiscourse,169,118,0.95,0.28
262,InformationQuantities,169,121,0.95,0.28
228,InformationQuantities,169,130,0.95,0.30
67 %,InformationQuantities,169,129,0.95,0.30
sophomores,CharacterTypes,169,134,0.95,0.31
readers ',ExpertVocabulary,169,132,0.95,0.31
maternity,ExpertVocabulary,169,122,0.95,0.29
give rise to,Reasoning,169,135,0.95,0.32
caddy,CharacterTypes,169,92,0.95,0.22
it's just as,ConfidenceHigh,169,165,0.95,0.39
and given the,Reasoning,169,164,0.95,0.38
something more than,InformationComparison,169,166,0.95,0.39
militaries,CharacterTypes,169,91,0.95,0.21
in parallel,InformationComparison,169,143,0.95,0.33
357,InformationQuantities,169,122,0.95,0.29
yin,ExpertVocabulary,169,99,0.95,0.23
that are so,ConfidenceHigh,169,166,0.95,0.39
pancreas,ExpertVocabulary,169,102,0.95,0.24
treatment group,MethodsResultsDiscussion,169,49,0.95,0.11
she can be,ConfidenceHedged,169,162,0.95,0.38
surgeon general,CharacterTypes,169,116,0.95,0.27
georgians,CharacterTypes,169,65,0.95,0.15
i show,ReaderDirectedMetadiscourseFP,169,157,0.95,0.37
more on that,ReaderDirectedMetadiscourse,169,163,0.95,0.38
bugger,CharacterTypes,169,120,0.95,0.28
have shown that,CitationAuthority,168,158,0.94,0.37
more specifically,ReaderDirectedMetadiscourse,168,153,0.94,0.36
wrestlers,CharacterTypes,168,89,0.94,0.21
intoxicated,CharacterTypes,168,157,0.94,0.37
hermeneutic,ExpertVocabulary,168,47,0.94,0.11
directories,ExpertVocabulary,168,95,0.94,0.22
can build,ConfidenceHedged,168,161,0.94,0.38
grammatical,ExpertVocabulary,168,118,0.94,0.28
243,InformationQuantities,168,133,0.94,0.31
247,InformationQuantities,168,137,0.94,0.32
was collected,MethodsResultsDiscussion,168,146,0.94,0.34
". alas ,",ReaderDirectedMetadiscourse,168,152,0.94,0.36
novelists,CharacterTypes,168,138,0.94,0.32
the fact that a,ConfidenceHigh,168,163,0.94,0.38
an element of,ExpertVocabulary,168,162,0.94,0.38
".
35",InformationQuantities,168,168,0.94,0.39
".
38",InformationQuantities,168,165,0.94,0.39
fundamentals of,Reasoning,168,147,0.94,0.34
noting that the,CitationNeutral,168,144,0.94,0.34
like so many,ReaderDirectedMetadiscourse,168,162,0.94,0.38
know to,ConfidenceHigh,168,163,0.94,0.38
oeuvre,ExpertVocabulary,168,117,0.94,0.27
is accurate,ConfidenceHigh,168,160,0.94,0.37
speed of light,ExpertVocabulary,168,94,0.94,0.22
due to an,Reasoning,168,159,0.94,0.37
knopf,ExpertVocabulary,168,113,0.94,0.26
written the,CitationNeutral,168,160,0.94,0.37
white boy,ExpertVocabulary,168,120,0.94,0.28
pharmacists,CharacterTypes,168,74,0.94,0.17
asymmetric,ExpertVocabulary,168,87,0.94,0.20
warlords,CharacterTypes,168,108,0.94,0.25
lifeguard,CharacterTypes,168,100,0.94,0.23
my theory,ReaderDirectedMetadiscourseFP,168,148,0.94,0.35
standing up for,Reasoning,168,153,0.94,0.36
was expecting,CitationControversy,168,160,0.94,0.37
vitals,ExpertVocabulary,167,139,0.94,0.33
denominator,ExpertVocabulary,167,136,0.94,0.32
our approach,ReaderDirectedMetadiscourse,167,136,0.94,0.32
may experience,ConfidenceHedged,167,156,0.94,0.37
and where the,Reasoning,167,166,0.94,0.39
. with respect to,ReaderDirectedMetadiscourse,167,135,0.94,0.32
as a rule,Reasoning,167,148,0.94,0.35
the increasingly,PurposePlan,167,166,0.94,0.39
266,InformationQuantities,167,118,0.94,0.28
polarity,ExpertVocabulary,167,76,0.94,0.18
anemia,ExpertVocabulary,167,90,0.94,0.21
microbiology,ExpertVocabulary,167,95,0.94,0.22
oral history,MethodsResultsDiscussion,167,102,0.94,0.24
were compared,PurposePlan,167,142,0.94,0.33
pronouns,ExpertVocabulary,167,69,0.94,0.16
toms,ExpertVocabulary,167,75,0.94,0.18
family tree,ExpertVocabulary,167,121,0.94,0.28
behave like,ReaderDirectedMetadiscourse,167,148,0.94,0.35
target the,PurposePlan,167,152,0.94,0.36
apaches,CharacterTypes,167,44,0.94,0.10
sameness,InformationComparison,167,88,0.94,0.21
we will do,ReaderDirectedMetadiscourseFP,167,154,0.94,0.36
mothers ',CharacterTypes,167,107,0.94,0.25
"""
yet",Reasoning,167,157,0.94,0.37
concede that,Reasoning,167,159,0.94,0.37
third person,ExpertVocabulary,167,117,0.94,0.27
a painter,CharacterTypes,167,145,0.94,0.34
school of law,ExpertVocabulary,167,123,0.94,0.29
the same with,InformationComparison,167,161,0.94,0.38
binaries,ExpertVocabulary,167,57,0.94,0.13
".
father",CharacterTypes,167,104,0.94,0.24
write them,CitationNeutral,167,154,0.94,0.36
bigfoot,ExpertVocabulary,167,65,0.94,0.15
navigational,ExpertVocabulary,166,91,0.93,0.21
can claim,ConfidenceHedged,166,159,0.93,0.37
we examined,MethodsResultsDiscussion,166,123,0.93,0.29
reviews of,ExpertVocabulary,166,146,0.93,0.34
laity,CharacterTypes,166,83,0.93,0.19
indexed,ExpertVocabulary,166,119,0.93,0.28
geriatric,CharacterTypes,166,115,0.93,0.27
could stop,ConfidenceHedged,166,160,0.93,0.37
it is like,InformationComparison,166,157,0.93,0.37
were interviewed,MethodsResultsDiscussion,166,130,0.93,0.30
targeting the,PurposePlan,166,148,0.93,0.35
coordinators,CharacterTypes,166,107,0.93,0.25
gifted children,CharacterTypes,166,48,0.93,0.11
fungal,ExpertVocabulary,166,60,0.93,0.14
south africans,CharacterTypes,166,74,0.93,0.17
49 %,InformationQuantities,166,131,0.93,0.31
might lose,ConfidenceHedged,166,159,0.93,0.37
laborer,CharacterTypes,166,116,0.93,0.27
stockholders,CharacterTypes,166,121,0.93,0.28
pronunciation,ExpertVocabulary,166,118,0.93,0.28
cameo,ExpertVocabulary,166,134,0.93,0.31
troopers,CharacterTypes,166,104,0.93,0.24
everyone thinks,ConfidenceHigh,166,162,0.93,0.38
i could tell you,ReaderDirectedMetadiscourse,166,157,0.93,0.37
analysis of variance,ExpertVocabulary,165,111,0.93,0.26
focal,ExpertVocabulary,165,102,0.93,0.24
in some sense,ReaderDirectedMetadiscourse,165,138,0.93,0.32
in the number of,InformationQuantities,165,153,0.93,0.36
influencing the,Reasoning,165,147,0.93,0.34
someone might,Reasoning,165,161,0.93,0.38
two old,InformationQuantities,165,133,0.93,0.31
333,InformationQuantities,165,113,0.93,0.26
asymptomatic,ExpertVocabulary,165,67,0.93,0.16
it is therefore,Reasoning,165,144,0.93,0.34
co-operation,ExpertVocabulary,165,124,0.93,0.29
236,InformationQuantities,165,134,0.93,0.31
resembles a,InformationComparison,165,157,0.93,0.37
ballerina,CharacterTypes,165,116,0.93,0.27
deviation,InformationComparison,165,130,0.93,0.30
phenomenological,ExpertVocabulary,165,98,0.93,0.23
to see if they,PurposePlan,165,160,0.93,0.37
loggers,CharacterTypes,165,89,0.93,0.21
concedes,Reasoning,165,156,0.93,0.37
gay man,CharacterTypes,165,117,0.93,0.27
progressivism,ExpertVocabulary,165,81,0.93,0.19
van gogh,CharacterTypes,165,108,0.93,0.25
fine art,ExpertVocabulary,165,105,0.93,0.25
olfactory,ExpertVocabulary,165,55,0.93,0.13
all the same .,Reasoning,165,159,0.93,0.37
no-brainer,ConfidenceHigh,165,157,0.93,0.37
like ours,ReaderDirectedMetadiscourse,165,154,0.93,0.36
not really sure,ConfidenceHedged,165,160,0.93,0.37
bailiff,CharacterTypes,165,84,0.93,0.20
like nothing,ReaderDirectedMetadiscourse,165,156,0.93,0.37
c-section,ExpertVocabulary,165,83,0.93,0.19
hobbit,ExpertVocabulary,165,69,0.93,0.16
corresponds to,InformationComparison,164,135,0.92,0.32
intoxication,CharacterTypes,164,115,0.92,0.27
equates,InformationComparison,164,155,0.92,0.36
in order that,PurposePlan,164,139,0.92,0.33
of fiction,ExpertVocabulary,164,129,0.92,0.30
305,InformationQuantities,164,122,0.92,0.29
inpatient,CharacterTypes,164,82,0.92,0.19
readability,ExpertVocabulary,164,76,0.92,0.18
nonsignificant,ExpertVocabulary,164,104,0.92,0.24
380,InformationQuantities,164,135,0.92,0.32
an equally,InformationComparison,164,152,0.92,0.36
. among those,ReaderDirectedMetadiscourse,164,153,0.92,0.36
average number,ExpertVocabulary,164,121,0.92,0.28
computer program,ExpertVocabulary,164,127,0.92,0.30
acting as a,InformationComparison,164,153,0.92,0.36
fullness,ExpertVocabulary,164,116,0.92,0.27
confidence interval,ExpertVocabulary,164,105,0.92,0.25
main effects,ExpertVocabulary,164,83,0.92,0.19
warmest,InformationComparison,164,100,0.92,0.23
only 10,InformationQuantities,164,158,0.92,0.37
".
37",InformationQuantities,164,163,0.92,0.38
( sic ),ReaderDirectedMetadiscourse,164,132,0.92,0.31
the butcher,CharacterTypes,164,126,0.92,0.29
married women,CharacterTypes,164,112,0.92,0.26
theocracy,ExpertVocabulary,164,95,0.92,0.22
education students,CharacterTypes,164,71,0.92,0.17
there could be a,ConfidenceHedged,164,155,0.92,0.36
upper-class,CharacterTypes,164,136,0.92,0.32
school of public,ExpertVocabulary,164,120,0.92,0.28
unlike a,InformationComparison,164,157,0.92,0.37
world needs,PurposePlan,164,147,0.92,0.34
to end up,PurposePlan,164,160,0.92,0.37
mentioned a,CitationNeutral,164,152,0.92,0.36
can pick,ConfidenceHedged,164,158,0.92,0.37
hypothermia,ExpertVocabulary,164,96,0.92,0.22
tensed,ExpertVocabulary,164,144,0.92,0.34
"""
the man",CharacterTypes,164,129,0.92,0.30
tastes like,InformationComparison,164,151,0.92,0.35
teen-agers,CharacterTypes,164,89,0.92,0.21
".
in contrast ,",ReaderDirectedMetadiscourse,163,151,0.92,0.35
copyrights,ExpertVocabulary,163,74,0.92,0.17
cognitively,ExpertVocabulary,163,97,0.92,0.23
these is,ReaderDirectedMetadiscourse,163,156,0.92,0.37
equivalents,InformationComparison,163,148,0.92,0.35
teacher of,CharacterTypes,163,133,0.92,0.31
worlds of,ExpertVocabulary,163,137,0.92,0.32
rhetorically,ExpertVocabulary,163,147,0.92,0.34
foothold,ConfidenceHigh,163,150,0.92,0.35
reformist,CharacterTypes,163,99,0.92,0.23
traffickers,CharacterTypes,163,80,0.92,0.19
allocations,ExpertVocabulary,163,112,0.92,0.26
summation,Reasoning,163,132,0.92,0.31
lowest level,ExpertVocabulary,163,150,0.92,0.35
controversy over,PurposePlan,163,156,0.92,0.37
the shape of the,InformationComparison,163,150,0.92,0.35
crusader,CharacterTypes,163,117,0.92,0.27
contradicts,Reasoning,163,145,0.92,0.34
water supply,ExpertVocabulary,163,131,0.92,0.31
bacterium,ExpertVocabulary,163,107,0.92,0.25
according to her,CitationNeutral,163,159,0.92,0.37
liberally,CharacterTypes,163,150,0.92,0.35
invertebrates,ExpertVocabulary,163,82,0.92,0.19
good reasons,Reasoning,163,155,0.92,0.36
fatter,InformationComparison,163,144,0.92,0.34
to the person,Reasoning,163,154,0.92,0.36
dandy,CharacterTypes,163,130,0.92,0.30
he explains,CitationAuthority,163,152,0.92,0.36
lightness,ExpertVocabulary,163,140,0.92,0.33
bureaucrat,CharacterTypes,163,144,0.92,0.34
surfers,CharacterTypes,163,106,0.92,0.25
colonoscopy,ExpertVocabulary,163,52,0.92,0.12
as we all know,ConfidenceHigh,162,158,0.91,0.37
antithesis,Reasoning,162,143,0.91,0.33
the intent of,PurposePlan,162,143,0.91,0.33
".
teachers",CharacterTypes,162,121,0.91,0.28
can write,ConfidenceHedged,162,143,0.91,0.33
to become more,PurposePlan,162,154,0.91,0.36
romanticism,ExpertVocabulary,162,108,0.91,0.25
inferences,Reasoning,162,116,0.91,0.27
could hold,ConfidenceHedged,162,154,0.91,0.36
contrast with,ReaderDirectedMetadiscourse,162,152,0.91,0.36
wrote his,CitationNeutral,162,145,0.91,0.34
fiscally,ExpertVocabulary,162,133,0.91,0.31
plans for a,PurposePlan,162,153,0.91,0.36
work's,ExpertVocabulary,162,136,0.91,0.32
post hoc,ExpertVocabulary,162,98,0.91,0.23
we saw that,MethodsResultsDiscussion,162,154,0.91,0.36
implication,Reasoning,162,143,0.91,0.33
ged,ExpertVocabulary,162,97,0.91,0.23
coworker,CharacterTypes,162,134,0.91,0.31
forties,InformationQuantities,162,140,0.91,0.33
childless,ExpertVocabulary,162,135,0.91,0.32
he notes,CitationNeutral,162,150,0.91,0.35
fueling,Reasoning,162,143,0.91,0.33
can know,ConfidenceHedged,162,147,0.91,0.34
every step of the way,ConfidenceHigh,162,155,0.91,0.36
foster parents,CharacterTypes,162,80,0.91,0.19
consonants,ExpertVocabulary,162,87,0.91,0.20
martians,ExpertVocabulary,162,76,0.91,0.18
implanted,ExpertVocabulary,162,127,0.91,0.30
sheik,CharacterTypes,162,90,0.91,0.21
goldsmith,CharacterTypes,162,70,0.91,0.16
gastrointestinal,ExpertVocabulary,162,99,0.91,0.23
life sentence,ExpertVocabulary,162,125,0.91,0.29
all that time,Reasoning,162,156,0.91,0.37
so hard that,Reasoning,162,156,0.91,0.37
the ways of,ExpertVocabulary,161,149,0.91,0.35
by doing so,Reasoning,161,153,0.91,0.36
their attention,CharacterTypes,161,146,0.91,0.34
touchstone,ExpertVocabulary,161,129,0.91,0.30
as an alternative to,ReaderDirectedMetadiscourse,161,152,0.91,0.36
it would probably,ConfidenceHedged,161,157,0.91,0.37
propose to,ReaderDirectedMetadiscourse,161,151,0.91,0.35
with a history of,Reasoning,161,124,0.91,0.29
has proposed,CitationControversy,161,155,0.91,0.36
monsignor,CharacterTypes,161,60,0.91,0.14
contended that,CitationControversy,161,139,0.91,0.33
can teach,ConfidenceHedged,161,150,0.91,0.35
we examine,PurposePlan,161,131,0.91,0.31
".
five",InformationQuantities,161,152,0.91,0.36
what i'm going,ReaderDirectedMetadiscourseFP,161,150,0.91,0.35
may do,ConfidenceHedged,161,155,0.91,0.36
mimetic,ExpertVocabulary,161,57,0.91,0.13
for it is,Reasoning,161,142,0.91,0.33
magellan,ExpertVocabulary,161,56,0.91,0.13
large quantities,InformationQuantities,161,143,0.91,0.33
can act,ConfidenceHedged,161,153,0.91,0.36
are the result of,Reasoning,161,152,0.91,0.36
cor,ExpertVocabulary,161,76,0.91,0.18
only six,InformationQuantities,161,158,0.91,0.37
. it is like,InformationComparison,161,153,0.91,0.36
strains of,ExpertVocabulary,161,130,0.91,0.30
the definition,ReaderDirectedMetadiscourse,161,149,0.91,0.35
in-service,ExpertVocabulary,161,77,0.91,0.18
claims the,CitationControversy,161,157,0.91,0.37
hepatitis,ExpertVocabulary,161,94,0.91,0.22
violinist,CharacterTypes,161,105,0.91,0.25
threes,InformationQuantities,161,128,0.91,0.30
quirks,ExpertVocabulary,161,146,0.91,0.34
one-man,InformationQuantities,161,148,0.91,0.35
is a complete,ConfidenceHigh,161,155,0.91,0.36
stratosphere,ExpertVocabulary,161,105,0.91,0.25
multiple sclerosis,ExpertVocabulary,161,111,0.91,0.26
celibate,CharacterTypes,161,79,0.91,0.18
immune response,ExpertVocabulary,161,73,0.91,0.17
miles per hour,ExpertVocabulary,161,132,0.91,0.31
".
i know that",ConfidenceHigh,161,156,0.91,0.37
webber,CharacterTypes,161,95,0.91,0.22
renewables,ExpertVocabulary,161,76,0.91,0.18
vitamin e,ExpertVocabulary,161,75,0.91,0.18
within the framework of,ReaderDirectedMetadiscourse,160,116,0.90,0.27
keynesian,ExpertVocabulary,160,88,0.90,0.21
steeper,InformationComparison,160,137,0.90,0.32
dropouts,CharacterTypes,160,104,0.90,0.24
connotation,ReaderDirectedMetadiscourse,160,132,0.90,0.31
interchange,ExpertVocabulary,160,123,0.90,0.29
ascribed to,Reasoning,160,142,0.90,0.33
to restrict,PurposePlan,160,147,0.90,0.34
conclusively,ConfidenceHigh,160,148,0.90,0.35
", which is to say",ReaderDirectedMetadiscourse,160,146,0.90,0.34
practicum,ExpertVocabulary,160,43,0.90,0.10
252,InformationQuantities,160,115,0.90,0.27
results indicate that,CitationAuthority,160,117,0.90,0.27
64 %,InformationQuantities,160,116,0.90,0.27
discriminating,ExpertVocabulary,160,135,0.90,0.32
his claim,CitationControversy,160,145,0.90,0.34
clearly that,ConfidenceHigh,160,157,0.90,0.37
can achieve,ConfidenceHedged,160,152,0.90,0.36
oxide,ExpertVocabulary,160,73,0.90,0.17
i am convinced,ConfidenceHigh,160,147,0.90,0.34
go further,InformationComparison,160,155,0.90,0.36
".
in general",ConfidenceHigh,160,154,0.90,0.36
play's,ExpertVocabulary,160,90,0.90,0.21
widower,CharacterTypes,160,141,0.90,0.33
obscuring,ExpertVocabulary,160,151,0.90,0.35
taxa,ExpertVocabulary,160,52,0.90,0.12
could remember,ConfidenceHedged,160,150,0.90,0.35
neutrons,ExpertVocabulary,160,61,0.90,0.14
mid-level,ExpertVocabulary,160,75,0.90,0.18
equating,InformationComparison,160,143,0.90,0.33
slower than,InformationComparison,160,152,0.90,0.36
armenians,CharacterTypes,160,66,0.90,0.15
neutron,ExpertVocabulary,160,66,0.90,0.15
chapter 7,ExpertVocabulary,160,62,0.90,0.15
lymph nodes,ExpertVocabulary,160,101,0.90,0.24
",
so",Reasoning,160,156,0.90,0.37
archived,ExpertVocabulary,160,97,0.90,0.23
payout,ExpertVocabulary,160,123,0.90,0.29
cesarean,ExpertVocabulary,160,45,0.90,0.11
nerdy,CharacterTypes,160,138,0.90,0.32
i accepted,ReaderDirectedMetadiscourseFP,160,154,0.90,0.36
his attorney,CharacterTypes,160,143,0.90,0.33
with -,ExpertVocabulary,160,155,0.90,0.36
just shows,Reasoning,160,155,0.90,0.36
as they're,Reasoning,160,156,0.90,0.37
grads,CharacterTypes,160,109,0.90,0.26
has something to do with,ExpertVocabulary,159,152,0.89,0.36
trademarks,ExpertVocabulary,159,97,0.89,0.23
summarizes the,CitationNeutral,159,137,0.89,0.32
is provided by,ExpertVocabulary,159,139,0.89,0.33
classifying,ExpertVocabulary,159,120,0.89,0.28
led to an,Reasoning,159,156,0.89,0.37
dualism,ExpertVocabulary,159,74,0.89,0.17
plummer,ExpertVocabulary,159,62,0.89,0.15
knew when,ConfidenceHigh,159,151,0.89,0.35
claiming to be,CitationControversy,159,147,0.89,0.34
resemble the,InformationComparison,159,149,0.89,0.35
kb,ExpertVocabulary,159,70,0.89,0.16
